patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0865,7/22/22,RTHA,Red-tailed hawk,,NA,E,7/25/22
2022-0866,7/22/22,AMCR,American crow,Asheville,Buncombe,EOA,7/22/22
2022-0867,7/22/22,BWHA,Broad-winged hawk,Spruce Pine,Mitchell,T,8/15/22
2022-0868,7/22/22,NOMO,Northern mockingbird,,NA,R,8/19/22
2022-0869,7/22/22,NOMO,Northern mockingbird,,NA,R,8/19/22
2022-0870,7/22/22,AMRO,American robin,Asheville,Buncombe,R,8/4/22
2022-0871,7/22/22,AMRO,American robin,,NA,R,8/4/22
2022-0872,7/22/22,RBWO,Red-bellied woodpecker,,NA,R,8/26/22
2022-0873,7/22/22,ELOB,Rat snake,,NA,EOA,7/22/22
2022-0874,7/22/22,ODVI,White-tailed deer,Banner Elk,Avery,EOA,7/22/22
2022-0875,7/23/22,ODVI,White-tailed deer,Boone,Watauga,E,7/26/22
2022-0876,7/24/22,BOQU,Bobwhite Quail,Boone,Watauga,T,2/22/23
2022-0877,7/24/22,TECA,Eastern box turtle,Marion,McDowell,R,8/15/22
2022-0878,7/25/22,AMRO,American robin,Bakersville,Mitchell,R,8/18/22
2022-0879,7/25/22,SYFL,Eastern cottontail,Boone,Watauga,R,8/3/22
2022-0880,7/25/22,SYFL,Eastern cottontail,,NA,D,7/28/22
2022-0881,7/25/22,NOMO,Northern mockingbird,Bakersville,Mitchell,R,8/19/22
2022-0882,7/25/22,DIVI,Virginia opossum,Bakersville,Mitchell,R,9/12/22
2022-0883,7/25/22,DIVI,Virginia opossum,Bakersville,Mitchell,R,9/12/22
2022-0884,7/25/22,DIVI,Virginia opossum,,NA,DOA,7/25/22
2022-0885,7/25/22,DIVI,Virginia opossum,,NA,DOA,7/25/22
2022-0886,7/25/22,HOFI,House finch,Boone,Watauga,R,9/5/22
2022-0887,7/26/22,TRSCS,Yellow Bellied Slider,,NA,R,9/1/22
2022-0888,7/26/22,GHOW,Great horned owl,Boone,Watauga,R,8/3/22
2022-0889,7/26/22,HOWA,Hooded Warbler,Blowing Rock,Watauga,D24,7/27/22
2022-0890,7/26/22,HOSP,House sparrow,Miller Creek,Wilkes,E,2/13/23
2022-0891,7/26/22,DIVI,Virginia opossum,Marion,McDowell,R,9/12/22
2022-0892,7/26/22,DIVI,Virginia opossum,Marion,McDowell,R,8/23/22
2022-0893,7/26/22,SYFL,Eastern cottontail,Zionville,Watauga,D24,7/27/22
2022-0894,7/27/22,NOCA,Northern cardinal,Wilkesboro,Wilkes,D,7/28/22
2022-0895,7/27/22,SYFL,Eastern cottontail,Bakersville,Mitchell,D24,7/28/22
2022-0896,7/27/22,DCCO,Double-crested cormorant,Banner Elk,Avery,D,8/5/22
2022-0897,7/27/22,SCCA,Eastern gray squirrel,Wilkesboro,Wilkes,D,8/2/22
2022-0898,7/28/22,HOSP,House sparrow,,NA,R,9/1/22
2022-0899,7/28/22,NOPA,Northern Parula,Deep Gap,Watauga,D,7/29/22
2022-0900,7/28/22,DIVI,Virginia opossum,,Mitchell,R,9/12/22
